"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"522","1","0.86","0","8608"
"513","10","0.36","788","821"
"514","10","0.06","636","612"
"517","10","0.45","525","560"
"515","10","0.12","936","991"
"516","10","0.27","838","912"
"518","10","0.34","737","761"
"524","10","0.25","820","858"
"531","1","0.84","0","8353"
"521","10","0.4","573","605"
"523","10","0.38","644","670"
"520","10","0.74","36","36"
"525","10","0.39","571","601"
"527","10","0.25","850","904"
"526","10","0.3","825","884"
"539","0","0","0","0"
"528","10","0.79","3","3"
"540","1","0.85","0","8540"
"529","10","0.42","497","520"
"532","10","0.06","693","669"
"530","10","0.39","701","724"
"533","10","0.14","862","934"
"535","10","0.57","292","286"
"534","10","0.07","797","782"
"537","10","0.56","383","378"
"536","10","0.57","237","236"
"538","10","0.61","146","149"
"541","10","0.34","707","725"
"542","10","0.63","212","210"
"553","1","0.9","0","9011"
"552","2","0.8","0","2"
"543","10","0.55","268","280"
"545","10","0.51","355","374"
"546","10","0.08","632","667"
"557","1","0.95","0","9511"
"547","10","0.01","40","30"
"544","10","0.8","31","31"
"548","10","0.27","829","853"
"561","1","0.86","0","8643"
"549","10","0.26","849","878"
"562","3","0.76","0","2"
"551","10","0.71","42","41"
"550","10","0.69","90","90"
"564","1","0.98","0","9814"
"554","10","0.04","460","446"
"555","10","0.63","221","230"
"569","1","0.98","0","9809"
"556","10","0.43","556","556"
"559","10","0.35","647","700"
"485","10","0.48","388","389"
"560","10","0.01","40","28"
"558","10","0.49","283","300"
"573","2","0.8","0","3"
"576","1","0.94","0","9394"
"563","10","0.27","803","811"
"565","10","0.66","79","87"
"574","2","0.76","0","4"
"566","10","0.22","773","865"
"579","2","0.84","0","1"
"582","1","0.88","0","8840"
"567","10","0.17","846","903"
"568","10","0.16","899","926"
"571","10","0.6","199","201"
"570","10","0.12","960","1032"
"572","10","0.26","778","822"
"577","10","0.59","139","130"
"575","10","0.53","301","303"
"580","10","0.08","664","710"
"578","10","0.4","541","565"
"584","10","0.17","859","915"
"583","10","0.35","800","808"
"587","10","0.75","7","7"
"586","10","0.44","493","505"
"585","10","0.46","553","576"
"588","10","0.59","169","169"
"589","10","0.38","812","832"
"598","1","0.94","0","9402"
"595","2","0.84","0","1"
"590","10","0.16","752","803"
"581","10","0.2","914","985"
"591","10","0.36","714","793"
"605","1","0.95","0","9470"
"592","10","0.72","28","28"
"607","1","0.83","0","8336"
"594","10","0.65","119","115"
"596","10","0.1","801","848"
"593","10","0.75","62","62"
"599","10","0.06","526","508"
"597","10","0.24","955","990"
"603","10","0.14","954","1011"
"601","10","0.59","266","262"
"600","10","0.24","966","953"
"614","1","0.86","0","8546"
"602","10","0.48","448","459"
"617","1","0.9","0","8934"
"606","10","0.67","44","44"
"604","10","0.07","676","685"
"608","10","0.36","692","751"
"610","10","0.45","609","598"
"609","10","0.03","244","212"
"612","10","0.76","0","2"
