"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"1886","10","0.12","1023","1044"
"1890","10","0.55","350","363"
"1889","10","0.56","258","265"
"1902","1","0.87","0","8721"
"1901","1","0.82","0","8147"
"1903","1","0.85","0","8497"
"1895","10","0.73","6","6"
"1893","10","0.05","432","433"
"1894","10","0.56","196","189"
"1897","10","0.24","871","908"
"1898","10","0.13","754","828"
"1911","2","0.83","0","3"
"1896","10","0.06","637","635"
"1914","1","0.98","0","9787"
"1904","10","0.61","138","135"
"1900","10","0.14","967","982"
"1906","10","0.55","319","329"
"1905","10","0.33","828","836"
"1917","1","0.84","0","8427"
"1907","10","0.26","898","914"
"1918","2","0.81","0","1"
"1908","10","0.57","172","180"
"1922","1","0.94","0","9384"
"1909","10","0.35","554","625"
"1910","10","0.2","868","919"
"1912","10","0.34","812","896"
"1913","10","0.36","763","754"
"1915","10","0.56","192","187"
"1919","10","0.22","839","870"
"1920","10","0.07","628","638"
"1921","10","0.17","828","903"
"1916","10","0.31","681","729"
"1923","10","0.4","513","577"
"1925","10","0.48","453","415"
"1924","10","0.07","616","634"
"1927","10","0.65","260","268"
"1926","10","0.44","435","447"
"1938","2","0.89","0","1"
"1928","10","0.39","744","761"
"1929","10","0.65","58","57"
"1933","10","0.5","556","566"
"1941","1","0.86","0","8643"
"1931","10","0.06","510","516"
"1932","10","0.36","627","637"
"1930","10","0.54","356","361"
"1934","10","0.5","432","452"
"1945","2","0.85","0","1"
"1935","10","0.68","43","43"
"1950","1","0.99","0","9906"
"1939","10","0.58","184","199"
"1937","10","0.44","482","480"
"1940","10","0.35","622","661"
"1936","10","0.4","530","562"
"1942","10","0.05","401","383"
"1943","10","0.19","918","987"
"1944","10","0.18","878","902"
"1946","10","0.55","227","231"
"1956","2","0.83","0","2"
"1949","10","0.53","267","279"
"1960","1","0.88","0","8878"
"1947","10","0.51","441","460"
"1948","10","0.64","71","71"
"1951","10","0.12","898","993"
"1965","1","1","0","10005"
"1952","10","0.4","708","765"
"1966","1","0.94","0","9389"
"1954","10","0.42","579","612"
"1953","10","0.74","34","34"
"1957","10","0.26","810","914"
"1955","10","0.61","271","274"
"1959","10","0.38","701","757"
"1958","10","0.23","822","881"
"1961","10","0.49","341","367"
"1962","10","0.23","950","984"
"1963","10","0.58","270","271"
"1964","10","0.27","1012","1003"
"1967","10","0.1","803","835"
"1971","10","0.79","3","3"
"1968","10","0.45","477","509"
"1969","10","0.59","238","242"
"1979","1","0.93","0","9341"
"1973","10","0.33","800","821"
"1974","10","0.05","558","510"
"1970","10","0.05","485","481"
"1972","10","0.14","947","1004"
"1975","10","0.4","622","661"
"1976","10","0.15","887","921"
"1989","1","0.82","0","8229"
"1977","10","0.63","111","111"
"1978","10","0.44","563","565"
"1992","1","0.97","0","9726"
"1980","10","0.36","696","760"
"1994","1","0.96","0","9594"
"1981","10","0.46","716","690"
"1984","10","0.03","259","209"
"1982","10","0.67","37","37"
"1983","10","0.5","369","361"
"1985","10","0.58","200","197"
"2000","1","0.83","0","8228"
"1986","10","0.54","341","356"
"1998","1","0.9","0","8988"
"1988","10","0.59","255","265"
"1987","10","0.59","131","135"
"1990","10","0.4","634","666"
"1991","10","0.15","976","1077"
"1995","10","0.46","429","441"
"1993","10","0.06","579","590"
"2009","1","0.9","0","8965"
"1997","10","0.16","921","986"
"1996","10","0.3","725","815"
"2012","1","0.9","0","8968"
"2011","2","0.84","0","1"
"2001","10","0.61","150","153"
"1999","10","0.27","901","930"
"2004","10","0.18","875","930"
"2002","10","0.78","28","28"
"2003","10","0.01","83","59"
"2006","10","0.65","65","69"
"2005","10","0.5","340","362"
"2010","10","0.23","893","975"
"2007","10","0.3","786","842"
"2008","10","0.21","889","936"
"2014","10","0.53","350","340"
"2023","2","0.82","0","1"
"2013","10","0.73","9","9"
"2015","10","0.65","106","109"
"2024","2","0.79","0","2"
"2017","10","0.5","354","365"
"2016","10","0.48","474","474"
"2030","1","0.97","0","9707"
"2019","10","0.59","297","310"
"2018","10","0.32","853","871"
"2020","10","0.04","474","462"
"2021","10","0.61","161","160"
"2022","10","0.43","579","615"
"2025","10","0.13","862","920"
"2026","10","0.04","362","322"
"2027","10","0.49","483","505"
"2028","10","0.43","555","534"
"2038","2","0.77","0","1"
"2029","10","0.71","31","33"
"2032","10","0.39","637","666"
"2033","10","0.45","449","465"
"2041","2","0.78","0","3"
"2031","10","0.54","309","313"
"2035","10","0.8","28","28"
"2034","10","0.39","693","690"
"2037","10","0.66","137","142"
"2048","1","0.96","0","9609"
"2036","10","0.08","693","733"
"2039","10","0.38","596","643"
"2042","10","0.23","838","911"
"2040","10","0.19","867","944"
"2044","10","0.25","771","835"
"2045","10","0.74","31","31"
"2043","10","0.52","229","242"
"2057","1","0.92","0","9199"
"2047","10","0.05","553","520"
"2046","10","0.73","84","84"
"2050","10","0.73","37","37"
"2062","0","0","0","0"
"2051","10","0.03","279","229"
"2049","10","0.2","962","997"
"2053","10","0.39","595","636"
"2052","10","0.61","143","150"
"2054","10","0.14","926","982"
"2058","10","0.65","97","98"
"2056","10","0.61","225","225"
"2055","10","0.41","556","596"
"2059","10","0.41","579","589"
"2060","10","0.48","377","380"
"2061","10","0.73","40","42"
"2064","10","0.59","239","245"
"2063","10","0.1","884","942"
"2075","1","0.95","0","9497"
"2065","10","0.22","923","977"
"2069","10","0.12","789","816"
"2068","10","0.67","68","68"
"2066","10","0.25","864","912"
"2070","10","0.12","800","825"
"2079","1","0.93","0","9276"
"2067","10","0.53","331","327"
"2071","10","0.3","853","881"
"2082","1","0.95","0","9517"
"2083","1","0.87","0","8713"
"2072","10","0.29","883","934"
"2073","10","0.08","754","808"
"2084","2","0.81","0","2"
"2074","10","0.32","734","779"
"2091","2","0.82","0","1"
"2077","10","0.71","33","33"
"2076","10","0.69","90","90"
"2093","1","0.97","0","9682"
"2080","10","0.64","88","90"
"2078","10","0.15","878","982"
"2086","10","0.67","164","167"
"2085","10","0.21","967","1001"
"2087","10","0.71","31","31"
"2081","10","0.31","808","803"
"2089","10","0.28","930","975"
"2101","1","1","0","10005"
"2102","1","0.79","0","7972"
"2090","10","0.67","67","60"
"2088","10","0.74","6","6"
"2105","1","0.85","0","8511"
"2104","2","0.82","0","1"
"2092","10","0.34","699","730"
"2094","10","0.34","792","793"
"2096","10","0.45","496","524"
"2095","10","0.13","848","946"
"2098","10","0.13","789","827"
"2097","10","0.08","723","733"
"2099","10","0.38","613","646"
"2107","10","0.76","31","31"
"2103","10","0.59","326","327"
"2106","10","0.5","442","446"
"2100","10","0.17","887","924"
"2108","10","0.25","927","981"
"2120","2","0.84","0","1"
"2110","10","0.75","7","6"
"2109","10","0.09","872","889"
"2112","10","0.69","59","59"
"2111","10","0.55","290","280"
"2125","1","0.93","0","9325"
"2113","10","0.33","689","728"
"2115","10","0.28","891","930"
"2128","0","0","0","0"
"2114","10","0.29","853","934"
"2116","10","0.14","907","992"
"2118","10","0.54","309","314"
"2131","1","0.85","0","8565"
"2117","10","0.77","56","56"
"2119","10","0.7","49","49"
"2122","10","0.74","56","56"
"2121","10","0.73","56","56"
"2124","10","0.68","38","42"
"2123","10","0.41","644","685"
"2126","10","0.36","687","727"
"2127","10","0.59","179","181"
"2129","10","0.83","3","3"
"2133","10","0.65","102","103"
"2132","10","0.68","35","35"
"2144","1","0.86","0","8630"
"2130","10","0.26","912","958"
"2134","10","0.54","348","355"
"2137","10","0.33","835","863"
"2136","10","0.41","526","581"
"2143","4","0.79","0","1"
"2138","10","0.09","660","727"
"2135","10","0.33","764","760"
"2151","1","0.94","0","9404"
"2140","10","0.33","785","794"
"2139","10","0.37","712","741"
"2141","10","0.43","462","475"
"2156","1","0.87","0","8694"
"2142","10","0.44","459","499"
"2150","10","0.7","34","34"
"2148","10","0.02","138","100"
"2145","10","0.73","3","3"
"2149","10","0.4","519","524"
"2147","10","0.03","331","259"
"2146","10","0.45","540","525"
"2154","10","0.48","416","414"
"2161","2","0.82","0","2"
"2153","10","0.07","652","645"
"2160","3","0.79","0","1"
"2155","10","0.71","41","48"
"2158","10","0.16","912","962"
"2157","10","0.4","597","597"
"2152","10","0.17","939","1005"
"2159","10","0.49","467","467"
"2172","3","0.74","0","2"
"2162","10","0.62","170","173"
"2165","10","0.48","443","498"
"2168","10","0.4","674","668"
"2167","10","0.6","190","189"
"2163","10","0.62","145","145"
"2166","10","0.51","323","326"
"2176","1","0.92","0","9201"
"2164","10","0.15","875","922"
"2178","1","0.94","0","9430"
"2180","1","0.92","0","9240"
"2170","10","0.13","928","966"
"2171","10","0.2","996","1030"
"2169","10","0.27","779","848"
"2182","2","0.83","0","1"
"2185","1","0.85","0","8533"
"2173","10","0.25","824","890"
"2189","1","0.9","0","9017"
"2175","10","0.24","833","864"
"2174","10","0.07","620","598"
"2177","10","0.58","170","177"
"2181","10","0.27","886","969"
"2194","1","0.94","0","9433"
"2183","10","0.07","739","760"
"2186","10","0.54","227","225"
"2179","10","0.35","733","775"
"2184","10","0.3","758","797"
"2200","1","0.94","0","9403"
"2190","10","0.64","243","226"
"2188","10","0.02","173","128"
"2187","10","0.66","53","54"
"2191","10","0.06","553","568"
"2192","10","0.39","586","587"
"2193","10","0.35","666","714"
"2196","10","0.36","719","745"
"2195","10","0.2","938","997"
"2197","10","0.7","62","62"
"2198","10","0.15","788","844"
"2210","1","0.93","0","9286"
"2199","10","0.3","704","736"
"2202","10","0.69","59","59"
"2201","10","0.76","3","3"
"2204","10","0.63","99","99"
"2214","1","0.89","0","8934"
"2203","10","0.75","37","37"
"2207","10","0.13","865","886"
"2205","10","0.65","94","82"
"2206","10","0.46","571","575"
"2208","10","0.56","280","283"
"2209","10","0.53","493","508"
"2211","10","0.01","4","4"
"2222","1","1","0","10005"
"2225","1","0.87","0","8736"
"2226","1","0.91","0","9083"
"2212","10","0.18","901","962"
"2217","10","0.15","861","910"
"2215","10","0.24","834","888"
"2216","10","0.04","438","403"
"2213","10","0.26","894","918"
"2228","1","0.89","0","8925"
"2229","1","0.95","0","9496"
"2231","1","0.85","0","8453"
"2230","1","0.95","0","9484"
"2218","10","0.03","264","232"
"2219","10","0.06","580","547"
"2237","1","0.89","0","8889"
"2221","10","0.49","302","291"
"2220","10","0.46","566","535"
"2223","10","0.44","535","550"
"2224","10","0.49","408","409"
"2241","1","0.89","0","8904"
"2234","10","0.21","920","990"
"2233","10","0.47","441","448"
"2227","10","0.12","1019","1028"
"2246","1","0.98","0","9812"
"2235","10","0.08","724","777"
"2236","10","0.6","277","274"
"2232","10","0.15","756","799"
"2240","10","0.69","31","31"
"2252","0","0","0","0"
"2238","10","0.45","683","691"
"2242","10","0.72","28","26"
"2243","10","0.42","593","622"
"2239","10","0.25","892","899"
"2244","10","0.56","341","329"
"2245","10","0.06","699","685"
"2247","10","0.64","31","33"
"2249","10","0.74","62","62"
"2248","10","0.38","653","718"
"2250","10","0.66","92","99"
"2251","10","0.33","773","823"
"2253","10","0.37","681","689"
"2254","10","0.5","335","333"
"2256","10","0.68","46","45"
"2255","10","0.04","386","345"
"2257","10","0.73","59","59"
"2267","2","0.79","0","4"
"2258","10","0.58","294","299"
"2259","10","0.28","755","800"
"2260","10","0.34","886","977"
"2261","10","0.37","666","704"
"2262","10","0.43","554","608"
"2263","10","0.62","187","188"
"2265","10","0.15","853","896"
"2264","10","0.74","59","59"
"2266","10","0.25","889","929"
"2268","10","0.74","3","3"
"2270","10","0.59","160","155"
"2269","10","0.67","22","24"
"2272","10","0.46","514","529"
"2281","2","0.82","0","1"
"2271","10","0.14","832","887"
"2273","10","0.38","704","716"
"2285","1","0.89","0","8963"
"2286","1","0.9","0","8982"
"2274","10","0.21","933","973"
"2276","10","0.33","816","883"
"2275","10","0.1","905","910"
"2289","1","0.92","0","9249"
"2279","10","0.01","40","28"
"2280","10","0.6","191","196"
"2277","10","0.74","63","64"
"2283","10","0.68","146","146"
"2293","1","0.91","0","9105"
"2278","10","0.68","3","3"
"2294","1","0.87","0","8715"
"2282","10","0.2","950","978"
"2284","10","0.14","834","890"
"2288","10","0.55","266","255"
"2287","10","0.67","68","68"
"2302","1","0.96","0","9594"
"2290","10","0.61","266","252"
"2292","10","0.6","195","180"
"2296","10","0.67","88","88"
"2291","10","0.32","800","852"
"2299","10","0.12","903","924"
"2298","10","0.13","846","900"
"2301","10","0.42","476","495"
"2300","10","0.07","599","631"
"2295","10","0.5","478","505"
"2312","1","0.84","0","8445"
"2297","10","0.56","285","270"
"2304","10","0.34","827","812"
"2303","10","0.01","23","22"
"2306","10","0.17","909","963"
"2307","10","0.07","607","628"
"2305","10","0.23","783","833"
"2318","1","0.92","0","9153"
"2309","10","0.65","81","79"
"2310","10","0.4","553","580"
"2311","10","0.67","104","106"
"2313","10","0.57","227","243"
"2308","10","0.09","698","708"
"2314","10","0.57","429","417"
"2320","10","0.41","535","551"
"2315","10","0.66","80","80"
"2319","10","0.54","278","282"
"2324","10","0.74","28","28"
"2316","10","0.07","778","809"
"2317","10","0.64","25","27"
"2322","10","0.59","278","288"
"2333","1","0.86","0","8595"
"2323","10","0.21","889","953"
"2325","10","0.25","901","917"
"2335","2","0.78","0","3"
"2321","10","0.34","811","832"
"2338","1","0.99","0","9895"
"2327","10","0.41","618","649"
"2326","10","0.62","164","153"
"2339","1","0.92","0","9219"
"2328","10","0.3","773","813"
"2329","10","0.09","729","757"
"2330","10","0.1","777","805"
"2331","10","0.63","124","127"
"2347","0","0","0","0"
"2334","10","0.69","41","41"
"2349","1","0.88","0","8835"
"2332","10","0.17","769","850"
"2336","10","0.09","750","798"
"2337","10","0.27","909","921"
"2340","10","0.18","894","932"
"2344","10","0.44","466","470"
"2354","1","0.94","0","9383"
"2343","10","0.14","981","1007"
"2342","10","0.09","716","740"
"2345","10","0.03","214","193"
"2341","10","0.28","819","830"
"2357","2","0.87","0","1"
"2360","1","0.96","0","9594"
"2361","1","0.98","0","9811"
"2348","10","0.61","192","187"
"2346","10","0.5","365","380"
"2363","1","0.87","0","8722"
"2350","10","0.26","788","765"
"2351","10","0.22","901","980"
"2353","10","0.09","827","831"
"2352","10","0.49","452","450"
"2359","10","0.63","154","157"
"2356","10","0.63","157","159"
"2370","2","0.92","0","1"
"2355","10","0.66","117","117"
"2358","10","0.44","488","490"
"2372","2","0.79","0","1"
"2362","10","0.72","6","6"
"2364","10","0.19","914","1032"
"2367","10","0.35","804","827"
"2366","10","0.09","810","847"
"2365","10","0.3","863","904"
"2378","2","0.82","0","2"
"2382","1","0.98","0","9788"
"2381","1","0.93","0","9257"
"2380","2","0.79","0","3"
"2368","10","0.1","718","781"
"2369","10","0.43","598","621"
"2371","10","0.64","128","129"
"2374","10","0.19","902","937"
"2373","10","0.6","206","219"
"2376","10","0.46","517","503"
"2375","10","0.19","871","911"
"2377","10","0.53","303","307"
"2379","10","0.42","594","591"
"2393","2","0.77","0","5"
"2383","10","0.21","868","910"
"2387","10","0.66","127","131"
"2385","10","0.63","164","170"
"2388","10","0.29","932","991"
"2386","10","0.26","917","948"
"2398","1","0.86","0","8715"
"2384","10","0.14","883","949"
"2395","2","0.82","0","1"
"2389","10","0.02","209","150"
"2402","1","0.85","0","8494"
"2403","1","0.98","0","9820"
"2405","1","0.86","0","8618"
"2391","10","0.19","808","862"
"2408","1","0.86","0","8597"
"2394","10","0.47","376","395"
"2390","10","0.15","846","898"
"2392","10","0.52","312","319"
"2399","10","0.13","794","810"
"2396","10","0.45","565","543"
"2397","10","0.53","283","299"
"2401","10","0.09","805","838"
"2400","10","0.39","679","681"
"2406","10","0.05","558","516"
"2404","10","0.72","3","3"
"2407","10","0.12","885","930"
"2419","1","0.84","0","8358"
"2409","10","0.54","257","294"
"2410","10","0.13","814","866"
"2412","10","0.24","901","990"
"2411","10","0.66","103","113"
"2424","0","0","0","0"
"2414","10","0.55","205","217"
"2413","10","0.29","863","901"
"2415","10","0.7","37","37"
"2425","2","0.78","0","3"
"2416","10","0.73","31","31"
"2417","10","0.5","329","318"
"2418","10","0.59","289","286"
"2430","4","0.8","0","2"
"2421","10","0.31","689","710"
"2423","10","0.52","416","426"
"2422","10","0.46","476","479"
"2434","1","0.87","0","8741"
"2420","10","0.07","618","608"
"2428","10","0.55","299","313"
"2429","10","0.46","439","468"
"2426","10","0.73","30","30"
"2440","1","1","0","10005"
"2427","10","0.73","62","62"
"2431","10","0.56","289","272"
"2432","10","0.25","892","940"
"2433","10","0.03","359","309"
"2436","10","0.43","531","569"
"2435","10","0.06","577","593"
"2437","10","0.57","127","134"
"2438","10","0.09","818","828"
"2439","10","0.64","92","93"
"2443","10","0.37","710","722"
"2441","10","0.7","40","40"
"2444","10","0.23","936","995"
"2442","10","0.52","326","348"
"2456","1","0.98","0","9785"
"2457","1","0.77","0","7740"
"2445","10","0.51","404","411"
"2459","1","0.89","0","8879"
"2448","10","0.73","10","10"
"2446","10","0.32","801","835"
"2449","10","0.54","344","340"
"2450","10","0.56","168","163"
"2447","10","0.08","770","754"
"2453","10","0.2","891","939"
"2455","10","0.74","40","39"
"2452","10","0.64","77","75"
"2454","10","0.49","389","402"
"2451","10","0.67","40","40"
"2458","10","0.37","754","799"
"2460","10","0.08","656","660"
"2461","10","0.34","787","809"
"2462","10","0.64","102","97"
"2463","10","0.03","348","293"
"2464","10","0.42","514","553"
"2466","10","0.62","110","115"
"2474","1","0.96","0","9594"
"2476","1","0.81","0","8111"
"2467","10","0.43","543","607"
"2465","10","0.18","981","1032"
"2470","10","0.57","344","359"
"2469","10","0.36","728","765"
"2468","10","0.02","244","196"
"2482","1","0.87","0","8720"
"2471","10","0.66","52","52"
"2472","10","0.67","83","81"
"2473","10","0.16","889","951"
"2480","10","0.26","966","1003"
"2477","10","0.5","345","346"
"2479","10","0.23","775","769"
"2478","10","0.55","300","324"
"2475","10","0.28","774","792"
"2490","2","0.78","0","3"
"2481","10","0.25","827","878"
"2483","10","0.54","225","227"
"2485","10","0.79","6","6"
"2484","10","0.29","897","960"
"2486","10","0.58","178","184"
"2487","10","0.66","52","52"
"2488","10","0.1","805","827"
"2489","10","0.59","301","308"
"2500","1","0.99","0","9896"
"2491","10","0.69","37","37"
"2492","10","0.01","56","43"
"2503","1","0.93","0","9332"
"2497","10","0.62","181","175"
"2493","10","0.05","545","543"
"2496","10","0.8","28","28"
"2498","10","0.79","3","3"
"2494","10","0.45","403","439"
"2495","10","0.21","830","871"
"2510","1","0.87","0","8621"
"2499","10","0.09","774","796"
"2502","10","0.62","151","151"
"2501","10","0.47","415","388"
"2514","1","0.98","0","9793"
"2504","10","0.55","261","289"
"2515","2","0.79","0","1"
"2518","1","0.99","0","9897"
"2506","10","0.67","18","18"
"2505","10","0.75","56","56"
"2520","1","0.92","0","9181"
"2507","10","0.49","435","449"
"2509","10","0.28","852","885"
"2508","10","0.53","441","425"
"2511","10","0.29","851","911"
"2513","10","0.4","576","605"
"2525","3","0.82","0","2"
"2528","1","0.9","0","8973"
"2512","10","0.57","234","232"
"2516","10","0.42","547","596"
"2519","10","0.5","411","406"
"2517","10","0.06","666","649"
"2522","10","0.03","254","228"
"2521","10","0.51","395","403"
"2524","10","0.42","686","710"
"2523","10","0.62","42","42"
"2526","10","0.72","34","34"
"2530","10","0.72","65","65"
"2527","10","0.13","939","972"
"2529","10","0.43","540","570"
"2540","1","0.99","0","9900"
"2531","10","0.44","462","494"
"2542","1","0.83","0","8409"
"2532","10","0.75","3","3"
"2533","10","0.31","777","820"
"2535","10","0.75","9","9"
"2537","10","0.72","56","56"
"2534","10","0.01","80","56"
"2538","10","0.49","406","433"
"2536","10","0.44","514","534"
"2549","1","0.97","0","9676"
"2539","10","0.33","750","762"
"2554","1","0.96","0","9628"
"2541","10","0.69","9","9"
"2543","10","0.45","391","409"
"2547","10","0.59","241","246"
"2544","10","0.31","785","830"
"2557","1","0.98","0","9819"
"2545","10","0.65","140","144"
"2546","10","0.11","883","955"
"2560","1","0.99","0","9908"
"2561","1","0.94","0","9409"
"2551","10","0.64","84","90"
"2548","10","0.14","937","1023"
"2552","10","0.67","74","74"
"2553","10","0.07","684","701"
"2550","10","0.67","40","42"
"2569","1","0.98","0","9796"
"2568","1","0.84","0","8432"
"2555","10","0.69","7","7"
"2556","10","0.65","75","77"
"2558","10","0.24","960","1015"
"2562","10","0.31","882","889"
"2559","10","0.4","583","612"
"2563","10","0.29","857","912"
"2564","10","0.07","660","691"
"2565","10","0.19","850","857"
"2576","2","0.82","0","1"
"2567","10","0.76","11","11"
"2566","10","0.41","583","602"
"2572","10","0.04","480","424"
"2571","10","0.34","619","684"
"2570","10","0.66","81","82"
"2574","10","0.73","18","17"
"2575","10","0.47","502","539"
"2573","10","0.58","200","199"
"2587","1","0.9","0","8999"
"2577","10","0.28","945","945"
"2578","10","0.16","892","947"
"2579","10","0.33","767","814"
"2580","10","0.38","634","672"
"2592","1","0.92","0","9239"
"2582","10","0.66","64","63"
"2581","10","0.04","443","413"
"2596","1","0.99","0","9908"
"2583","10","0.59","126","125"
"2586","10","0.35","622","662"
"2585","10","0.72","14","13"
"2584","10","0.31","906","968"
"2589","10","0.41","612","630"
"2601","1","0.95","0","9534"
"2591","10","0.09","764","791"
"2588","10","0.48","431","428"
"2590","10","0.28","818","818"
"2605","1","0.84","0","8383"
"2594","10","0.7","12","12"
"2595","10","0.63","176","182"
"2593","10","0.15","757","828"
"2609","1","0.91","0","9121"
"2598","10","0.62","171","175"
"2599","10","0.18","873","913"
"2597","10","0.11","923","994"
"2602","10","0.04","574","509"
"2600","10","0.59","179","180"
"2614","1","0.99","0","9893"
"2603","10","0.12","899","942"
"2604","10","0.14","870","930"
"2618","1","0.88","0","8824"
"2606","10","0.01","57","44"
"2608","10","0.38","698","727"
"2607","10","0.17","933","997"
"2610","10","0.13","846","851"
"2611","10","0.17","835","880"
"2615","10","0.44","507","526"
"2613","10","0.04","474","397"
"2612","10","0.18","885","919"
"2626","1","0.98","0","9802"
"2627","1","0.87","0","8722"
"2616","10","0.53","396","411"
"2617","10","0.49","427","450"
"2619","10","0.13","806","884"
"2631","1","0.84","0","8394"
"2630","2","0.85","0","1"
"2620","10","0.42","665","694"
"2635","1","0.81","0","8152"
"2622","10","0.32","762","804"
"2623","10","0.46","530","519"
"2638","1","0.95","0","9508"
"2621","10","0.35","687","746"
"2625","10","0.25","908","931"
"2624","10","0.3","819","876"
"2629","10","0.24","831","872"
"2628","10","0.73","44","44"
"2633","10","0.02","257","206"
"2644","1","0.92","0","9190"
"2632","10","0.12","955","958"
"2634","10","0.4","605","612"
"2636","10","0.68","93","93"
"2637","10","0.48","433","460"
"2640","10","0.65","77","78"
"2650","2","0.81","0","1"
"2641","10","0.01","40","28"
"2642","10","0.39","667","679"
"2639","10","0.07","658","688"
"2655","1","0.94","0","9395"
"2643","10","0.53","317","315"
"2646","10","0.45","460","475"
"2658","1","0.9","0","8994"
"2647","10","0.07","692","680"
"2645","10","0.07","571","588"
"2649","10","0.28","912","934"
"2652","10","0.04","345","290"
"2648","10","0.36","819","841"
"2651","10","0.37","708","751"
"2664","1","0.86","0","8580"
"2656","10","0.24","720","766"
"2653","10","0.17","818","935"
"2657","10","0.59","155","152"
"2663","2","0.76","0","7"
"2666","2","0.78","0","3"
"2654","10","0.63","104","109"
"2672","2","0.8","0","3"
"2659","10","0.07","665","667"
"2673","2","0.86","0","1"
"2676","1","0.98","0","9810"
"2661","10","0.56","226","231"
"2674","3","0.75","0","1"
"2660","10","0.13","818","852"
"2662","10","0.43","552","559"
"2667","10","0.68","112","100"
"2668","10","0.34","862","919"
"2665","10","0.63","139","137"
"2669","10","0.26","845","924"
"2682","1","0.93","0","9298"
"2671","10","0.46","519","555"
"2670","10","0.25","961","961"
"2687","2","0.8","0","4"
"2675","10","0.58","174","179"
"2689","1","0.92","0","9223"
"2678","10","0.58","185","192"
"2677","10","0.66","95","94"
"2691","1","0.85","0","8527"
"2693","1","0.94","0","9413"
"2679","10","0.64","166","172"
"2680","10","0.78","31","31"
"2683","10","0.03","343","298"
"2681","10","0.05","564","561"
"2685","10","0.5","322","320"
"2686","10","0.1","794","830"
"2697","2","0.85","0","1"
"2684","10","0.53","369","366"
"2688","10","0.83","28","28"
"2703","2","0.79","0","1"
"2692","10","0.5","366","390"
"2690","10","0.55","238","245"
"2694","10","0.49","392","413"
"2695","10","0.71","12","14"
"2709","1","0.96","0","9589"
"2696","10","0.25","855","901"
"2698","10","0.3","719","755"
"2699","10","0.33","649","702"
"2701","10","0.25","865","875"
"2710","2","0.81","0","2"
"2712","1","0.96","0","9616"
"2700","10","0.25","842","925"
"2704","10","0.5","352","380"
"2716","2","0.78","0","2"
"2718","1","0.95","0","9506"
"2702","10","0.34","745","778"
"2705","10","0.61","202","198"
"2706","10","0.27","829","837"
"2707","10","0.41","608","603"
"2708","10","0.39","767","765"
"2724","1","0.86","0","8638"
"2711","10","0.7","98","98"
"2713","10","0.75","3","3"
"2714","10","0.66","172","170"
"2727","1","0.85","0","8471"
"2730","1","0.91","0","9093"
"2715","10","0.47","502","465"
"2717","10","0.11","801","866"
"2719","10","0.25","810","815"
"2733","1","0.95","0","9530"
"2731","2","0.76","0","8"
"2720","10","0.07","771","781"
"2723","10","0.69","84","84"
"2722","10","0.27","900","902"
"2721","10","0.18","939","982"
"2737","2","0.76","0","5"
"2725","10","0.55","163","176"
"2728","10","0.12","896","960"
"2729","10","0.2","922","942"
"2726","10","0.32","880","897"
"2745","1","0.88","0","8824"
"2734","10","0.22","976","1023"
"2732","10","0.29","773","844"
"2735","10","0.1","878","885"
"2736","10","0.63","121","122"
"2738","10","0.18","916","983"
"2751","1","0.99","0","9902"
"2739","10","0.12","890","975"
"2753","0","0","0","0"
"2740","10","0.16","891","936"
"2741","10","0.28","956","995"
"2752","2","0.79","0","1"
"2754","1","0.86","0","8667"
"2743","10","0.57","356","350"
"2744","10","0.05","670","640"
"2742","10","0.6","160","163"
"2759","1","0.9","0","9016"
"2747","10","0.59","237","237"
"2748","10","0.61","229","247"
"2749","10","0.48","471","487"
"2746","10","0.06","674","662"
"2764","1","0.85","0","8485"
"2750","10","0.56","325","347"
"2757","10","0.34","739","777"
"2755","10","0.43","451","492"
"2760","10","0.07","671","677"
"2756","10","0.41","449","449"
"2758","10","0.42","538","538"
"2761","10","0.22","797","874"
"2763","10","0.78","3","3"
"2762","10","0.09","885","975"
"2774","1","0.88","0","8797"
"2765","10","0.77","6","6"
"2767","10","0.14","852","930"
"2768","10","0.32","687","759"
"2766","10","0.23","837","881"
"2769","10","0.14","882","958"
"2771","10","0.18","910","910"
"2770","10","0.73","59","59"
"2775","10","0.67","45","47"
"2772","10","0.12","861","941"
"2773","10","0.5","383","386"
"2784","2","0.82","0","1"
"2776","10","0.54","333","319"
"2786","2","0.84","0","1"
"2777","10","0.01","84","60"
"2778","10","0.01","107","83"
"2791","1","0.92","0","9225"
"2780","10","0.56","251","269"
"2779","10","0.72","36","36"
"2782","10","0.04","476","446"
"2783","10","0.1","900","915"
"2785","10","0.14","894","972"
"2795","2","0.83","0","1"
"2781","10","0.03","296","246"
"2787","10","0.77","31","31"
"2799","1","0.79","0","7904"
"2789","10","0.24","901","949"
"2788","10","0.37","687","719"
"2790","10","0.37","630","652"
"2792","10","0.46","435","447"
"2793","10","0.2","913","989"
"2797","10","0.28","850","866"
"2796","10","0.48","377","388"
"2794","10","0.68","92","92"
"2798","10","0.62","290","283"
"2800","10","0.17","936","1012"
"2801","10","0.7","59","59"
"2802","10","0.31","724","787"
"2803","10","0.28","836","881"
"2804","10","0.65","77","82"
"2806","10","0.66","70","70"
"2805","10","0.25","802","858"
"2808","10","0.54","376","370"
"2807","10","0.29","796","872"
"2809","10","0.04","528","466"
"2811","10","0.47","523","539"
"2810","10","0.76","31","31"
